,a,b,wt,wt_b,genes
65,1.523120207284229,1.4766994852515285,1.6647813687625073,1.5716617414878626,PA14_00770
66,1.618820703781047,1.5972283765222666,1.7577945717854622,1.7619336558989118,PA14_00780
67,2.0461802178808957,1.9806759000337943,2.15548480643395,2.036309895115635,prlC
68,2.0393517043929337,1.9461174134580428,2.1382998330766525,1.977688331235719,PA14_00800
69,0.9595603234083318,0.8706349392845509,1.0539077148300444,1.033928031404553,PA14_00810
70,2.1754119909892227,2.203471858718723,2.287961969803851,2.222199896872835,PA14_00820
71,1.896324861382358,1.837723868263596,1.8732986233422564,1.8412665199876292,PA14_00830
72,0.6813629030408825,0.6308765657409195,0.6761751564331054,0.8001967971095907,PA14_00850
73,0.41790221500190905,0.29610264767316946,0.5539108561432561,0.5052475432870441,PA14_00860
74,1.4307670012652416,1.3601060103699096,1.3882634513272687,1.3362555538435468,ppkA
75,1.3534914229867918,1.2736700230041813,1.3396722901746223,1.3119952765058616,PA14_00890
76,1.3212399119129286,1.3054431220928076,1.3245096123725526,1.3043852933994216,PA14_00900
77,1.6196409428282235,1.5846872617263088,1.6649012842660875,1.587786427172446,PA14_00910
78,1.417680347395648,1.3505722588249425,1.4960809419300487,1.4253825663971555,PA14_00925
79,1.693572240446137,1.6820790983287037,1.8381963649359547,1.7472069375930641,PA14_00940
80,1.649557264915498,1.7016825552172892,1.8017027941242891,1.7925260516826125,PA14_00960
81,1.8228743520667587,1.8485255202928075,1.9890600616312681,1.925657970020166,PA14_00970
82,2.1967286635393544,2.141299462059661,2.25685232659391,2.2109135909683704,PA14_00980
83,1.8437489623182617,1.7837569657828178,1.9229034593655583,1.839309575189301,PA14_00990
84,2.5682656195784928,2.6123626515909493,2.677448198928876,2.576444473339602,PA14_01010
85,2.55475357791558,2.586389441394431,2.617293160898234,2.5388715589353064,PA14_01020
86,2.919566876547612,2.8827526281939417,2.9068896511612143,2.7532377027682724,PA14_01030
87,1.8221162777666,1.755437817122919,1.8569340080860937,1.698984416767266,PA14_01040
88,1.5365401307393936,1.4801236444932426,1.6090165086340467,1.5252268120471624,PA14_01060
89,1.3906800667683514,1.3624754436098532,1.4698308277974137,1.31705973439353,PA14_01070
90,1.2929745695236365,1.316322253908704,1.3077472505981345,1.2735455926071346,PA14_01080
